Sportart 	olympisch 	Typ 	Teamgröße 	Ort der Ausübung 	Herkunft/Verbreitung
Aerobic, Sportaerobic 	nein 	Turnsport, Tanzsport 		Hartbelag 	Vereinigte Staaten
Agility 	nein 	Tiersport 			
Aikido 	nein 	Kampfsport 		Matte 	Japan
Air Hockey 	nein 	Torspiel 	1 	Tisch 	
Airsoft 	nein 	Fangspiel 	2 und mehr 	Gelände 	Japan
Akontion 	antik 	Werfen 	1 		Antike
Akrobatik, Sportakrobatik 	nein 	Turnsport, Akrobatik 	1 und mehr 	Halle, Rasen 	
Allgemeines Turnen 	nein 	Turnsport 			
Alpinklettern 	nein 	Klettern, Natursport 		Gelände 	
Amateurfunkpeilen 	nein 	Natursport 	1 	Gelände 	Schweiz
American Football 	nein 	Torspiel 	11 	Rasen/Kunstrasen 	Vereinigte Staaten
American Handball 	nein 	Rückschlagspiel 	1-2 	Hartbelag 	Irland, Schottland
Angelsport 	nein 	Jagdsport 	1 	Wasser 	
Apnoetauchen 	nein 	Tauchsport 		Wasser 	
Aquaball 	nein 	Torspiel 	4 	Wasser 	Deutschland
Aquathlon 	nein 	Mehrkampfsport 	1 	Straße, Wasser 	
Arena Football 	nein 	Torspiel 	8 	Hartbelag 	Vereinigte Staaten
Armdrücken 	nein 	Kraftsport, Kampfsport 	1 	Tisch 	
Ausdruckstanz (Modern Dance) 	nein 	Tanzsport 			
Australian Football 	nein 	Torspiel 	18 	Rasen 	Victoria
Autoball 	nein 	Motorsport, Torspiel 		Halle, Hartbelag 	Deutschland
Automobilsport 	nein 	Motorsport 		Rennstrecke 	
Axtwerfen 	nein 	Werfen 	1 		Schweden
Backgammon 	nein 	Denksport 	2 		
Badminton 	ja (seit 1992) 	Rückschlagspiel 	1-2 	Hartbelag 	
Bahnengolf 	nein 	Präzisionssport 	1 	Anlage 	
Bahnradsport 	ja (seit 1896*) 	Radsport 	1 	Rennbahn 	
Ballbadminton 	nein 	Rückschlagspiel 	3-5 	Hartbelag 	Indien
Ballonfahren 	nein 	Fliegen 		Luftsport 	
Ballonspiel 	nein 	Rückschlagspiel 	3 	Rasen 	Europa
Bandy 	nein 	Torspiel 	11 	Eis 	Skandinavien
Bankdrücken 	nein 	Kraftsport 	1 		
Barlauf 	nein 	Fangspiel 		Rasen 	
Base-Jumping 	nein 	Springen 	1 	Luftsport 	
Baseball 	ehemalig (von 1992 bis 2008) 	Schlagballspiel 	9 	Rasen/Kunstrasen und Tenne 	New York
Basketball 	ja (seit 1936) 	Torspiel 	5 	Hartbelag 	Massachusetts
Baumstammwerfen 	nein 	Kraftsport 	1 		Schottland
Beachbasketball 	nein 	Torspiel 	3 	Beach/Sand 	Vereinigte Staaten
Beachhandball 	nein 	Torspiel 	4 	Beach/Sand 	
Beachminton 	nein 	Rückschlagspiel 	1 	Beach/Sand 	Schweiz
Beachrugby 	nein 	Torspiel 	5-7 	Beach/Sand 	Europa
Beachsoccer 	nein 	Torspiel 	5 	Beach/Sand 	Brasilien
Beachvolleyball 	ja (seit 1996) 	Rückschlagspiel 	2 	Beach/Sand 	Kalifornien
Berglauf 	nein 	Geschwindigkeitssport, Natursport 	1 	Gelände 	
Bergrennen 	nein 	Motorsport 		Rennstrecke 	
Bergsteigen 	nein 	Natursport 		Gelände 	
Biathle 	nein 	Mehrkampfsport 	1 	Straße, Wasser 	
Biathlon 	ja (seit 1924*) 	Geschwindigkeitssport, Schießsport 	1 	Schnee 	Skandinavien
Bikebiathlon 	nein 	Mehrkampfsport 	1-2 	Gelände 	
Billard 	nein 	Präzisionssport 	1 und mehr 	Tisch 	
