"age","all","musician","singer","actor","athlete","politician","showbiz","author","scientist","cleric","military","resistance","journalist","artist","other"
0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,11
1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4
4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9
5,8,0,0,0,0,0,0,0,0,1,0,0,0,0,7
6,13,0,0,0,0,0,0,0,0,0,0,0,0,0,13
7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8
8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5
9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5
10,9,0,0,1,0,0,0,0,0,0,0,0,0,0,8
11,12,1,0,1,0,0,0,0,0,0,0,0,0,0,10
12,9,0,0,1,0,0,1,0,0,0,0,0,0,0,8
13,20,0,0,2,0,0,0,1,0,0,0,1,0,0,17
14,31,1,0,1,0,0,0,1,0,2,1,0,0,0,25
15,22,1,0,0,0,0,0,0,0,0,0,0,0,0,21
16,48,2,0,7,4,0,2,0,0,0,1,2,0,0,33
17,77,2,0,5,2,0,2,8,0,1,1,9,0,3,46
18,97,2,3,6,7,0,1,5,0,0,4,7,0,2,63
19,132,4,3,6,13,1,1,3,0,0,11,7,0,3,82
20,164,6,0,8,22,0,2,8,3,2,15,8,1,1,96
21,246,9,2,16,33,2,3,17,6,1,15,23,1,8,121
22,266,12,4,14,31,1,4,17,3,1,16,26,2,8,138
23,325,14,4,13,36,1,3,20,9,3,21,30,0,15,175
24,358,18,3,22,52,2,9,36,18,3,17,18,2,13,162
25,404,17,6,15,52,4,4,35,11,4,27,32,2,22,189
26,447,24,11,15,54,9,2,48,25,4,26,31,5,22,196
27,450,26,15,19,46,8,7,47,29,7,28,22,5,19,199
28,496,24,17,23,45,10,9,41,29,3,30,29,6,33,220
29,575,34,14,27,58,9,4,49,55,3,35,31,6,35,248
30,553,39,23,13,53,20,6,56,61,2,35,35,10,26,209
31,588,33,16,32,47,25,14,63,71,3,37,32,10,30,219
32,626,43,11,35,45,27,5,72,60,6,29,43,10,36,243
33,728,48,24,30,59,45,11,66,73,7,38,46,15,64,271
34,738,48,22,37,39,58,13,73,74,7,38,39,12,54,273
35,761,48,16,29,49,62,15,73,86,7,54,44,14,48,271
36,851,68,18,36,46,65,16,102,104,9,40,40,8,66,295
37,907,52,25,35,34,100,17,112,122,18,47,44,9,61,310
38,906,71,24,49,44,100,18,96,117,16,51,51,18,62,274
39,1029,83,33,55,57,119,24,117,126,14,55,62,17,65,298
40,1034,66,31,43,46,136,33,119,148,11,72,51,31,71,286
41,1085,71,34,62,50,144,33,118,139,26,73,54,30,80,298
