"cat","legend","color"
"resistance","Widerstandskämpfer:in","#D62728"
"athlete","Athlet:in","#1F77B4"
"singer","Sänger:in","#4E91C5"
"other","andere","#7EACD6"
"military","Militär","#AEC7E8"
"author","Autor:in","#B5CAD8"
"actor","Schauspieler:in","#BDCDC9"
"musician","Musiker:in","#C4D1BA"
"artist","Künstler:in","#CCD4AB"
"journalist","Journalist:in","#D3D79C"
"cleric","Geistliche:r","#DBDB8D"
"showbiz","Showbiz","#D0D169"
"scientist","Wissenschaftler:in","#C6C745"
"politician","Politiker:in","#BCBD22"
