"cat","tot_c27","per_c27","tot_all","per_ref","legend","color","gain"
"resistance",12,2.66666666666667,782,0.309154450717143,"Widerstandskämpfer:in","#D62728",7.62567774936061
"athlete",46,10.2222222222222,7451,2.94566472160286,"Athlet:in","#1F77B4",2.47025992036863
"singer",12,2.66666666666667,3544,1.40107848253396,"Sänger:in","#4E91C5",0.903295711060948
"other",207,46,66799,26.4081945696349,"andere","#7EACD6",0.741883561131155
"military",26,5.77777777777778,10378,4.10281955184465,"Militär","#AEC7E8",0.4082456478448
"author",40,8.88888888888889,18189,7.19080601546563,"Autor:in","#B5CAD8",0.236146388843074
"actor",19,4.22222222222222,10348,4.09095940667647,"Schauspieler:in","#BDCDC9",0.0320860713825538
"musician",23,5.11111111111111,13768,5.44301595584863,"Musiker:in","#C4D1BA",-0.0609781134999033
"artist",18,4,16233,6.4175245505005,"Künstler:in","#CCD4AB",-0.376706708556644
"cleric",8,1.77777777777778,7321,2.89427075920743,"Geistliche:r","#DBDB8D",-0.385759686745891
"journalist",3,0.666666666666667,3147,1.24412922814175,"Journalist:in","#D3D79C",-0.464149984111853
"showbiz",2,0.444444444444444,2949,1.16585227003179,"Showbiz","#D0D169",-0.61878150785577
"scientist",26,5.77777777777778,45080,17.8218448060471,"Wissenschaftler:in","#C6C745",-0.675803608399882
"politician",8,1.77777777777778,46959,18.5646852317472,"Politiker:in","#BCBD22",-0.904238733079211
